id,texto,publico,macronarrativa,pauta,tipo,forca,base,despersonalizado,origem_lista,duplicado_de,alerta,pagina,id_documento
D01-TR-005,"O estado geral de saúde e a autoimagem física são os pilares que estruturam autonomia, socialização e exercício da cidadania na terceira idade. Há correlação direta entre bem-estar físico e sentimento de utilidade e participação social.",idosos,engajamento cívico,saúde do idoso*,achado,forte,restrita,,,,,5,D01
D01-TR-008,"No segmento mais ativo, sobretudo entre mulheres, há referências à prática de trabalhos manuais como forma de manter a mente ativa. Artesanato, crochê e patchwork são descritos como hobbies significativos.",idosos,proteção da família,cultura e lazer,achado,indício,restrita,,,,,6,D01
D01-TR-009,"Há relatos de continuidade em atividades produtivas informais como forma de se manter útil e ativo, incluindo produção de bolos sob encomenda, salgados para festas, costura e trabalho avulso em farmácias e hotelaria.",idosos,proteção do trabalhador,trabalho na terceira idade*,achado,indício,restrita,,,,,6,D01
D01-TR-010,"Atividades paroquiais e passeios de igrejas evangélicas e católicas, cursos gratuitos de informática e projetos educacionais voltados à terceira idade aparecem entre as atividades mencionadas.",idosos,proteção da família,cultura e lazer,achado,indício,restrita,,,,,6,D01
D01-TR-011,"Para o segmento de idosos ativos, sair de casa, frequentar academias e encontrar amigos e vizinhos é associado diretamente ao bem-estar mental, que por sua vez estimula o vigor físico. A mobilização física e social funciona como resistência psicológica à recusa do papel de descarte.",idosos,proteção da família,cuidado e abandono do idoso*,achado,forte,restrita,,,,,6,D01
D01-TR-012,"Há um segundo segmento, o dos idosos passivos, cuja passividade se define primordialmente por limitações físicas impostas pelo aparecimento de doenças, muitas associadas a quadros de dores crônicas.",idosos,proteção da família,saúde do idoso*,achado,forte,restrita,,,,,"6, 7",D01
D01-TR-015,"""Eu tenho 70 mas eu não me sinto com uma pessoa de 70. Eu me sinto como 40, 50.""",idosos,proteção da família,saúde do idoso*,verbatim,,restrita,,,,,7,D01
D01-TR-016,"""Eu me sinto bem, graças a Deus, que cheguei nos 77. Mas minha saúde já não é essas coisas mais como era antes de eu ter dengue. Eu nunca mais fui a mesma depois que eu tive a dengue.""",idosos,proteção da família,saúde do idoso*,verbatim,,restrita,,,,,8,D01
D01-TR-017,"""Eu tenho também a dificuldade de locomoção, porque eu moro no terceiro andar de um prédio de escada. Aí, devido à idade, eu tenho realmente problemas de circulação e me cansa muito.""",idosos,proteção da família,autonomia do idoso*,verbatim,,restrita,,,,,8,D01
D01-TR-018,"""Eu me sinto muito bem. Com saúde tudo vai bem, mas tenho muitas amigas doentes que nem podem mais sair de casa.""",idosos,proteção da família,saúde do idoso*,verbatim,,restrita,,,,,8,D01
D01-TR-023,"São poucos os relatos de satisfação com a aposentadoria. A razão essencial está no valor pago à maioria dos aposentados, exatamente na fase da vida em que gastos com remédios comprometem bastante o orçamento.",idosos,dinheiro no bolso,aposentadoria*,achado,forte,restrita,,,,,9,D01
D01-TR-024,"Quando a aposentadoria não sustenta o custo de vida, restam seguir trabalhando ou depender do auxílio de filhos e netos. Essa condição impacta negativamente o emocional e chega a gerar quadros de depressão.",idosos,dinheiro no bolso,aposentadoria*,achado,indício,restrita,,,,,9,D01
D01-TR-025,"""A gente passa a vida sonhando com ela e quando ela chega é uma droga.""",idosos,dinheiro no bolso,aposentadoria*,verbatim,,restrita,,,,,9,D01
D01-TR-031,Há convergência quanto à percepção de que os idosos merecem ser mais bem tratados e respeitados pela sociedade e pela política em geral.,idosos,engajamento cívico,reconhecimento do idoso*,achado,forte,restrita,,,,,11,D01
D01-TR-032,"O valor das aposentadorias está no cerne dos problemas enfrentados pelos idosos, em relação direta com a necessidade de amparo na saúde, que concentra queixas e revolta.",idosos,dinheiro no bolso,aposentadoria*,achado,forte,restrita,,,,,11,D01
D01-TR-034,"A distribuição desigual de remédios, tanto em unidades básicas quanto pelo serviço de farmácia popular, aparece entre as principais queixas relacionadas à saúde na terceira idade.",idosos,dinheiro no bolso,farmácia popular,achado,forte,restrita,,,,,"11, 12",D01
D01-TR-035,"Na síntese das queixas, o que falta à sociedade é respeito e reconhecimento por aqueles que dedicaram a vida ao trabalho e ao sustento da família.",idosos,proteção do trabalhador,reconhecimento do idoso*,achado,forte,restrita,,,,,12,D01
D01-TR-037,"""Se tem o remédio que o posto não está dando, é R$ 170 e eu tenho que comprar. Isso são três vidros, de R$ 170 cada um. Como fazer com essa aposentadoria vergonhosa que a gente recebe?""",idosos,dinheiro no bolso,farmácia popular,verbatim,,restrita,,,,,12,D01
D01-TR-038,"""Eu sou aposentado, a minha esposa é de casa, então ela nunca trabalhou registrada. Aí, como eu sou aposentado, ela já tá com 70 anos, ela não tem direito a receber nada. É errado! Ela trabalhou a vida toda em casa.""",idosos,dinheiro no bolso,aposentadoria*,verbatim,,restrita,,,,,12,D01
D01-TR-040,"Falar em política no contexto do processo eleitoral traz à tona espectro emocional dominado por desânimo, fadiga e desconfiança. Parte expressiva relata apatia e perda do entusiasmo cívico, admitindo que o processo eleitoral se tornou cansativo e repetitivo.",idosos,engajamento cívico,desilusão política*,achado,forte,restrita,,,,,13,D01
D01-TR-041,A expressão desiludido com os políticos surge como padrão verbal recorrente entre pessoas com mais de 70 anos.,idosos,engajamento cívico,desilusão política*,achado,forte,restrita,,,,,13,D01
D01-TR-045,"""Eu penso que eles vêm, prometem um rio de coisas... chega na hora, estão lá bem instaladinhos e nada fazem.""",idosos,engajamento cívico,desilusão política*,verbatim,,restrita,,,,,13,D01
D01-TR-046,"""Nessa fase da vida da gente, que nós trabalhamos muito, nos doamos muito procurando trabalhar pelas famílias e tudo, a gente sente falta de uma valorização nessa fase de nossa vida.""",idosos,proteção do trabalhador,reconhecimento do idoso*,verbatim,,restrita,,,,,14,D01
D01-TR-056,"""Eu já votei tanto por obrigação, que hoje que eu não tenho mais obrigação, eu já não estou me incomodando mais porque eu não vejo diferença.""",idosos,engajamento cívico,voto facultativo*,verbatim,,restrita,,,,,16,D01
D01-TR-057,"""Nós fomos obrigados a votar até os 70 anos. Então você vota, vota, vota... aí você chega nessa idade, você fala: Dane-se! Não quero mais, já deu! Por quê? Porque não muda.""",idosos,engajamento cívico,voto facultativo*,verbatim,,restrita,,,,,16,D01
D01-TR-059,"""Eu gosto de ir, de me arrumar nesse dia, boto um batonzinho e vou muito bem votar.""",idosos,engajamento cívico,voto facultativo*,verbatim,,restrita,,,,,15,D01
D01-TR-060,"""Não! É um dia de festa! É um dia de festa para o Brasil! Todo mundo se arruma para sair de casa para ir votar.""",idosos,brasil soberano,voto facultativo*,verbatim,,restrita,,,,,16,D01
D01-TR-066,"Quando a família se mobiliza e vota no mesmo local, o dia da eleição é ressignificado como momento de confraternização e almoço familiar, o que fortalece o desejo de comparecimento.",idosos,proteção da família,mobilização eleitoral*,funciona,,restrita,,,,,18,D01
D01-TR-084,A conscientização sobre o peso demográfico funciona como forte indutor do voto facultativo. Pessoas antes indecisas ou desanimadas descrevem que a revelação dos números despertou vontade imediata de comparecer às urnas.,idosos,engajamento cívico,peso do voto idoso*,funciona,,restrita,,,,,21,D01
D01-TR-103,O sigilo do voto é acionado como recurso prático de convivência: o idoso concorda com todos os interlocutores e preserva a própria escolha em silêncio.,idosos,engajamento cívico,polarização política*,funciona,,restrita,,,,,26,D01
D01-TR-105,"""É que como eu sempre digo: política, religião, mulher e futebol não se discute. Você pode falar, agora não se discute.""",idosos,brasil soberano,polarização política*,verbatim,,restrita,,,,,26,D01
D01-TR-116,"Há relato de aprendizado rápido de tecnologia quando a mudança tem finalidade prática e concreta, como a transição para a urna eletrônica.",idosos,engajamento cívico,consumo de mídia*,funciona,,restrita,,,,,28,D01
D01-TR-122,Buscar apoio político e econômico no exterior defendendo políticas internacionais que prejudicam interesses econômicos e tributários brasileiros é objeto de crítica severa.,idosos,brasil soberano,soberania econômica*,achado,indício,restrita,sim,,,,30,D01
D01-TR-151,"O formato narrativo baseado em uma história conjugal curta, leve e bem-humorada obtém ampla aclamação. A encenação de um diálogo cotidiano entre marido e mulher transmite maior naturalidade, espontaneidade e verdade do que discursos institucionais rígidos ou falas ensaiadas de celebridades.",idosos,brasil soberano,teste de mensagem*,funciona,,restrita,,,,,37,D01
D01-TR-152,"A dinâmica de casal na qual a esposa assume papel ativo de convencimento e puxa a orelha do marido desanimado é descrita como carismática, divertida e altamente representativa das interações domésticas reais desse eleitorado.",idosos,proteção da família,teste de mensagem*,funciona,,restrita,,,,,37,D01
D01-TR-153,"O esclarecimento prático sobre a existência e a obrigatoriedade da fila prioritária atua como principal argumento persuasivo. Saber que se passa na frente e que não será preciso suportar longas esperas de pé é descrito como alívio logístico decisivo, capaz de converter receio de desgaste em entusiasmo para comparecer.",idosos,engajamento cívico,acessibilidade eleitoral*,funciona,,restrita,,,,,37,D01
D01-TR-155,"A perspectiva de votar acompanhado de filhos e netos e reunir todos em torno de um almoço festivo ativa sentimentos de utilidade social, inserção comunitária e herança cívica intergeracional. A alimentação e a festa doméstica atuam como principais indutores afetivos de comparecimento eleitoral.",idosos,proteção da família,mobilização eleitoral*,funciona,,restrita,,,,,37,D01
D01-TR-162,Imagens de crianças e jovens estudando e caminhando livremente evocam de imediato o desejo de herdar um país próspero e seguro.,idosos,proteção da família,teste de mensagem*,funciona,,restrita,,,,,39,D01
D01-TR-170,"A maioria dos participantes manifesta opinião consolidada de ceticismo em relação à recomendação de voto feita por artistas, cantores e influenciadores digitais de grande porte. Não há crença de que a fama possa traduzir-se em autoridade política.",idosos,engajamento cívico,mensageiro da campanha*,afasta,,restrita,,,,,40,D01
D01-TR-171,"O argumento central da rejeição às celebridades é de ordem ética e financeira. Há convicção de que celebridades não apoiam candidaturas por convicção, mas por cachês comerciais ou por interesses corporativos de isenção fiscal.",idosos,engajamento cívico,mensageiro da campanha*,afasta,,restrita,,,,,"40, 41",D01
D01-TR-172,"Manifesta-se percepção crítica de que artistas de grande mídia pertencem a um grupo elitizado e protegido, que ignora privações cotidianas da população idosa pobre, como a fome, a fila dos serviços de urgência e o arrocho das aposentadorias.",idosos,engajamento cívico,mensageiro da campanha*,afasta,,restrita,,,,,41,D01
D01-TR-173,O uso de influenciadores digitais é amplamente descartado devido à falta de familiaridade dos idosos com a cultura dos memes de internet e à percepção de que esses jovens ganham dinheiro fácil sem produzir conteúdo de relevância real.,idosos,engajamento cívico,mensageiro da campanha*,afasta,,restrita,,,,,41,D01
D01-TR-174,Há defesa consensual de que as campanhas de mobilização para o voto devem ser protagonizadas por pessoas comuns e anônimas.,idosos,brasil soberano,mensageiro da campanha*,funciona,,restrita,,,,,41,D01
D01-TR-175,"Há reconhecimento do valor da estética da vida real: fisionomias marcadas pelo tempo, cabelos brancos naturais, roupas cotidianas simples e cenários domésticos realistas como uma sala de estar comum ou a mesa do almoço familiar.",idosos,brasil soberano,mensageiro da campanha*,funciona,,restrita,,,,,41,D01
