id,texto,publico,macronarrativa,pauta,tipo,forca,base,despersonalizado,origem_lista,duplicado_de,link,alerta,pagina,id_documento
D01-TR-009,"O eleitorado 70+ soma 36,2 milhões de pessoas, contingente que cresceu 74% desde 2010, cinco vezes mais que o eleitorado geral, e já representa quase um em cada quatro votos.",idosos,engajamento cívico,participação eleitoral*,contexto,-,restrita,não,não,-,,-,11,D01
D01-TR-010,"O voto é facultativo para maiores de 70 anos; em 2022, 58,9% deles não foram às urnas (8,8 milhões de pessoas). A abstenção vem caindo a cada eleição (era 63,6% em 2014), mas segue extremamente alta.",idosos,engajamento cívico,participação eleitoral*,contexto,-,restrita,não,não,-,,-,11,D01
D01-TR-014,Mulheres constituem mais de 84% das titularidades de programas de transferência de renda e sentem mais as variações de qualidade dos serviços públicos.,mulheres beneficiárias,dinheiro no bolso,transferência de renda*,contexto,-,restrita,não,não,-,,-,13,D01
D01-TR-017,"Mais de 97 milhões de pessoas estão inscritas no CadÚnico, 48% da população brasileira, presentes em 5.570 municípios.",mulheres beneficiárias,dinheiro no bolso,transferência de renda*,contexto,-,restrita,não,não,-,,-,14,D01
D01-TR-018,O Bolsa Família alcança mais de 49 milhões de pessoas; 84% dos lares beneficiários são chefiados por mulheres e 73% por pessoas pretas ou pardas.,mulheres beneficiárias,dinheiro no bolso,transferência de renda*,contexto,-,restrita,não,não,-,,-,14,D01
D01-TR-020,"71% dos lares que superaram a insegurança alimentar eram chefiados por mulher, evidência do impacto da transferência de renda.",mulheres beneficiárias,dinheiro no bolso,segurança alimentar*,contexto,-,restrita,não,não,-,,-,14,D01
D01-TR-021,A tendência histórica de voto deste público não garante adesão: o voto é frágil.,mulheres beneficiárias,engajamento cívico,decisão de voto*,achado,indício,restrita,sim,não,D01-TR-016,,-,14,D01
D01-TR-024,A faixa de renda até cinco salários mínimos começará a sentir o impacto de medidas como a isenção do Imposto de Renda até R$ 5 mil e a redução até R$ 7 mil.,mulheres de 2 a 5 salários mínimos,dinheiro no bolso,imposto de renda*,contexto,-,restrita,não,não,-,,-,15,D01
D01-TR-031,"O Bolsa Família entra no planejamento da casa antes mesmo de ser discutido como política pública; o que sustenta isso não é só o valor, é a previsibilidade de saber que o dinheiro vai cair.",mulheres beneficiárias,dinheiro no bolso,transferência de renda*,achado,indício,restrita,não,sim,-,,-,18,D01
D01-TR-032,"O benefício já é visto como direito, mas nunca foi suficiente; o desejo de mais que sobreviver vira alvo de acusação de ingratidão.",mulheres beneficiárias,dinheiro no bolso,transferência de renda*,achado,indício,restrita,não,sim,-,,-,18,D01
D01-TR-033,"A crítica ao benefício raramente para no valor: recai sobre a pessoa, lida como quem não se esforça, não trabalha ou ""tem filho pra ganhar benefício"", um julgamento moral constante.",mulheres beneficiárias,dinheiro no bolso,transferência de renda*,achado,indício,restrita,não,sim,-,,-,18,D01
